sample_id,sample_name,sample_path,shape_type,n_nodes,n_elements,kappa_1,kappa_2,q_1,q_2,relative_l2,mse,area_weighted_relative_l2,area_weighted_mse,max_absolute_error,mean_absolute_error
5,sample_00005_square,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00005_square\sample.npz,square,155,276,2.6964184532115896,4.996068124158237,9.985391177930387,2.269627364166893,0.33054813742637634,0.002228440949693322,0.3962574899196625,0.0027770583983510733,0.1533471941947937,0.035009559243917465
14,sample_00014_square,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00014_square\sample.npz,square,159,284,2.0681715033089123,2.7889261352312444,9.528438112051301,0.8519341605087083,0.5107221007347107,0.007994693703949451,0.5864129066467285,0.00993688590824604,0.3693459630012512,0.06347107142210007
16,sample_00016_triangle,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00016_triangle\sample.npz,triangle,163,292,3.890338768479447,5.349610850634789,2.2063783976554907,2.1358693062115575,0.38566696643829346,9.627769031794742e-05,0.43080365657806396,9.911003871820867e-05,0.01898849755525589,0.008701805956661701
23,sample_00023_disk,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00023_disk\sample.npz,disk,155,276,4.138789544517128,3.675924094937005,6.100234166923632,0.007609415789706642,0.34535861015319824,0.0003779087564907968,0.3680734634399414,0.00037973871803842485,0.04522859305143356,0.014863952063024044
27,sample_00027_disk,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00027_disk\sample.npz,disk,164,294,3.440816592301778,1.6616423761095689,1.7752459586651315,9.37455845946072,0.3362826108932495,0.00033707384136505425,0.3744589686393738,0.00028340445715002716,0.0439104363322258,0.015043414197862148
37,sample_00037_square,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00037_square\sample.npz,square,174,314,2.8622317059616886,17.30503995862129,1.2171949067267518,6.621357891566644,0.3643060326576233,0.00011717294546542689,0.45705845952033997,0.00013240535918157548,0.025646653026342392,0.009562576189637184
53,sample_00053_triangle,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00053_triangle\sample.npz,triangle,145,256,3.860136520645378,16.76973721019806,0.29087557082311366,9.70948618872088,1.0353983640670776,0.00013542198576033115,1.2998493909835815,0.00015418531256727874,0.021840374916791916,0.010555386543273926
61,sample_00061_disk,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00061_disk\sample.npz,disk,170,306,2.119497977379512,4.560256840089932,4.725526481253577,6.015862190170163,0.34335237741470337,0.0010990466689690948,0.35360437631607056,0.0010302502196282148,0.0725618228316307,0.026719292625784874
64,sample_00064_square,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00064_square\sample.npz,square,175,316,2.8282218784088586,9.402576455802205,3.074010322073406,8.744789437614855,0.34985053539276123,0.0005900420364923775,0.37193763256073,0.0004876049642916769,0.05821011960506439,0.019370777532458305
66,sample_00066_triangle,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00066_triangle\sample.npz,triangle,153,272,0.6157393965636769,9.529230464072972,7.970170408756154,8.542174414535245,0.3090328574180603,0.02784324437379837,0.37027034163475037,0.03504364937543869,0.4602552652359009,0.12857848405838013
70,sample_00070_square,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00070_square\sample.npz,square,158,282,4.871333692919372,8.484651083633453,7.359246599490351,4.708947560425329,0.39912423491477966,0.0005776327452622354,0.39808499813079834,0.0005526329041458666,0.0518057756125927,0.018765313550829887
71,sample_00071_triangle,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00071_triangle\sample.npz,triangle,149,264,2.4006146840051628,12.879194188093013,5.734341378331428,2.0340644868974045,0.3941580057144165,0.0015855261590331793,0.39497053623199463,0.0013792349491268396,0.0841963142156601,0.03143816813826561
72,sample_00072_disk,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00072_disk\sample.npz,disk,169,304,1.5583187356386647,2.3048430108564917,4.893804497571179,2.5008142958153945,0.2508948743343353,0.0009131943224929273,0.3086647093296051,0.001145133632235229,0.08724994957447052,0.0230131596326828
78,sample_00078_disk,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00078_disk\sample.npz,disk,174,314,1.1375418812031253,11.31339761920321,6.61859157325789,0.44621309188643266,0.5730695128440857,0.009189781732857227,0.6295793652534485,0.010703794658184052,0.2243582159280777,0.07758008688688278
82,sample_00082_triangle,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00082_triangle\sample.npz,triangle,162,290,4.184759992080817,8.580321345093154,5.450887023584473,7.886855453034444,0.36309269070625305,0.0004662641731556505,0.37964820861816406,0.0004272680962458253,0.04671129211783409,0.01674305647611618
84,sample_00084_triangle,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00084_triangle\sample.npz,triangle,138,242,2.390106777405771,11.159485358872338,9.024167790234175,4.365744578862943,0.34917160868644714,0.003107349155470729,0.3719952404499054,0.0031686164438724518,0.14042097330093384,0.04360175505280495
86,sample_00086_square,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00086_square\sample.npz,square,183,332,4.656462270290597,8.448996116739414,9.423060958006593,5.100879534202033,0.32029563188552856,0.0008399517391808331,0.35753118991851807,0.0008023932459764183,0.05887415260076523,0.024173840880393982
88,sample_00088_disk,..\fom_generation\data\heat2d_moderate_balanced\samples\sample_00088_disk\sample.npz,disk,159,284,1.2605917530185071,5.904367143459191,5.334408337412723,9.94260265023155,0.7019543647766113,0.020844029262661934,0.6777324080467224,0.015985075384378433,0.37354108691215515,0.1049986407160759
